ID,Difficulty,Question,A,B,C,D,E,Type,Group
99, Easy,"As part of a weekly email automation, a client needs to segment data in a Data Extension. Which activity is designed to address this scenario?",Import Activity ,File Transfer Activity ,Group Refresh   ,Query Activity  , ,CHECKBOX,Marketing Cloud
100, Easy,Which action will the Validate tool complete when initiated? ,Ensure subscribers have not unsubscribed or are undeliverable ,Confirm that each content area specified in the dynamic content rules exists  ,Ensure subscribers status at the time of send is Subscribed or Bounced  ,"Identify phrases like ""click here"" or ""Free!"" that could be marked as spam ", ,CHECKBOX,Marketing Cloud
101, Hard,"A marketer needs to share report results with a manager. When using Reports in the Marketing Cloud, which option can be used to deliver the report to the manager? (Choose 3)",Include a link to the report in an email ,Save the report to an FTP folder ,Email the report ,Print the report from Reports ,Save the report as a Snapshot ,CHECKBOX,Marketing Cloud
102, Hard,A marketer is importing a file using the import wizard and wants to ensure that only new records are added during the import process. How can the marketer achieve this? (Choose 2),Select the update type Add Only ,Ensure that the data extension contains a primary key ,Select the update type Overwrite ,Select the update type Add and Update , ,CHECKBOX,Marketing Cloud
103, Easy,"Northern Train Outfitters (NTO) finds 57% of its subscribers read emails on smartphones. Because of this, NTO wants to enhance its email viewing experience by thinking ""mobile first"". NTO has the resources to write the HTML and CSS Code needed to create responsively designed emails. Which option would add the code that was created outside of the Salesforce Marketing Cloud to the email?",Web Paste ,HTML Paste  ,Template Based ,Text only , ,CHOICE,Marketing Cloud
104, Easy,Which segment can be manually refreshed under Actions? (Choose 2),Filtered Group ,Filtered Data Extension ,Random Group ,Standard Data Extension populated by a Query , ,CHECKBOX,Marketing Cloud
105, Easy,A marketer wants website visitors to have the option to subscribe to specific publications and make updates to their profile. Which tool would the marketer use in this scenario?,Send Log ,Web collect  ,Subscriber Group ,Data Filter , ,CHOICE,Marketing Cloud
106, Easy,Which recipient option is available with Simple Send? (Choose 2),Data Extension ,Audience ,List ,Group ,Data Filter ,CHECKBOX,Marketing Cloud
107, Easy,The marketing team would like to send an email to an audience on a weekly basis. The team receives multiple files each week that need to be imported and joined to build the target audience for the email. Which tool is recommended to execute this process?,Data Extract Activity ,Playbooks ,Automation Studio  ,Filter Activity , ,CHOICE,Marketing Cloud
108, Easy,Northern Train Outfitters wants to grow its email subscriber list. Which best practice can the company use to increase the number of subscribers? (Choose 2),Offer email opt-in when customers create an account ,Capture email addresses through the use of browser cookies ,Use incentives such as a discount or free shipping to encourage opt-in ,Send emails to a purchased list with a request to opt-in , ,CHECKBOX,Marketing Cloud
109, Easy,"A new data extension named ""Orders"" contains order data. One row is recorded for each customer's order. Customers can place multiple orders. The data extension Orders relates to other data extensions. The data extension Orders contains the following fields:OrderNumber: a unique alphanumeric order numbercustomerID: a numeric customer identification numberOrderDate: the system date and time for the orderInstructions: an optional alphanumeric string that contains customer delivery notes. Which statement accurately reflects the configuration of the Orders Data Extension?",All fields in the data extension are nullable ,The OrderNumber field will be a Number data type field ,CustomerID will be used as the Primary Key ,OrderNumber will be used as the Primary Key  , ,CHOICE,Marketing Cloud
110, Easy,Northern Train Outfitters wants to make sure that a First Name and Last Name are always included when importing subscribers to a data extension. How can a marketer ensure that subscribers are imported with data in both of these fields?,Check the Nullable property for the First Name and Last Name columns ,Make the First Name and Last name columns Primary Keys ,Ensure the Nullable property is unchecked for the First Name and Last Name columns  ,Set up a default value for the column , ,CHOICE,Marketing Cloud
111, Easy,A marketer wants to overwrite the data in a data extension on a daily basis using Automation Studio. What can the marketer do to accomplish this task?,Create an Import Activity to use in a workflow in Automation Studio  ,Create an import using the Import Wizard in the Email Application ,Create an Import Activity and execute it manually ,Create an import using the Import Wizard in Automation Studio , ,CHOICE,Marketing Cloud
112, Easy,An email marketer is writing the next send's subject line. What can the marketer do to make the subject line more effective? (Choose 2) ,A/B test the effectiveness of different subjects ,"Include ""RE:, ""FWD:"" ""etc."" to get reader's attention ",Keep the subject text between 50 to 100 characters long ,Include information relevant to the message in the subject line , ,CHECKBOX,Marketing Cloud
113, Easy,A customer would like to automate a weekly email campaign using Automation Studio. Which send method would the customer to configure the email?,Send Preview ,Test Send ,User-Initiated Email  ,Guided Send , ,CHOICE,Marketing Cloud
114, Easy,Which type of content can an email content box contain? (Choose 3),Freelance ,A/B Testing ,Smart Capture ,Static ,Dynamic ,CHECKBOX,Marketing Cloud
115, Easy,Which variable can be tested using the A/B testing tool? (Choose 3),From Name ,Email content ,ISP ,IP Address ,Pre-header ,CHECKBOX,Marketing Cloud
116, Easy,A marketing manager is reporting on the degree of customer engagement with the company's email. Which metric can be used?,Click Through Rates  ,Bounce Rate ,List Growth Rates ,Influenced Revenue , ,CHOICE,Marketing Cloud
117, Easy,A marketer at Northern Trail Outfitters wants to add a subscriber to a data extension and follow up with a thank-you email by using Smart Capture. Which action does the marketer need to take in the processing tab when creating the Smart Capture form? (Choose 2),Refresh the data filter ,Send the email via Triggered Send ,Add to Data Extension ,Add a new subscriber to a list , ,CHECKBOX,Marketing Cloud
118, Hard,Northern Train Outfitters (NTO) specializes in delivering snack boxes to its members. NTO offers a 90-day trial on the snack boxes. NTO would like to send out a series of emails to educate and remind members to purchase the snack box subscription before the 90-day trial ends. Which tool is recommended for this scenario?,Triggered Emails ,Automation Studio ,Guided Send ,Playbooks  , ,CHOICE,Marketing Cloud
